id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1,89.500 ₫,-50%,8,32,4.7,331,2,4.8
2,428.000 ₫,0,1,8,4.7,91,1,4.0
3,84.000 ₫,-7%,5,13,4.8,21708,5,0.0
4,299.390 ₫,-9%,3,11,4.6,544,4,4.7
5,774.000 ₫,-40%,10,43,4.5,8294,5,4.7
6,49.000 ₫,0,68,265,4.8,302,1,4.5
7,106.000 ₫,-30%,136,448,4.4,104,5,4.4
8,185.000 ₫,0,8,45,4.2,122,2,4.6
9,297.000 ₫,-41%,8,30,4.3,237,4,4.6
10,379.000 ₫,0,23,49,4.9,179,1,4.9
11,44.000 ₫,0,1,19,4.5,64,0,5.0
12,99.000 ₫,-41%,24,221,4.5,317,2,4.4
13,280.000 ₫,0,20,103,4.5,87,1,4.5
14,189.000 ₫,0,10,26,4.5,1843,1,4.2
15,30.000 ₫,-44%,10,61,4.6,441,3,4.1
16,43.415 ₫,-50%,4,35,4.3,67,0,4.8
17,18.000 ₫,-40%,18,84,4.1,1843,2,4.1
18,26.000 ₫,0,28,150,4.7,78,2,4.9
19,390.000 ₫,-50%,2,10,4.6,77,2,5.0
20,89.500 ₫,-44%,33,97,4.7,331,2,4.7
21,27.600 ₫,-8%,4,41,4.5,4710,1,0.0
22,40.000 ₫,-33%,14,75,4.6,441,3,4.8
23,203.000 ₫,0,1,2,4.3,11,1,5.0
24,38.000 ₫,0,11,59,4.7,339,1,5.0
25,129.000 ₫,-46%,59,157,4.6,1638,2,4.3
26,451.000 ₫,-7%,69,148,4.8,21708,5,4.9
27,94.000 ₫,0,1,1,3.4,4,1,1.0
28,1.495.000 ₫,-50%,43,151,4.5,8294,6,4.8
29,30.000 ₫,-50%,9,36,4.6,441,3,5.0
30,49.000 ₫,0,5,32,4.4,15,1,4.6
31,13.000 ₫,-46%,3,45,4.4,48,0,3.7
32,100.000 ₫,-50%,24,99,4.6,441,4,4.7
33,22.000 ₫,-57%,6,50,4.2,2867,1,4.2
34,105.000 ₫,0,1,1,4.7,91,1,1.0
35,15.000 ₫,-32%,130,759,4.7,2252,0,4.6
36,46.200 ₫,-23%,33,155,4.7,53,1,4.7
37,65.000 ₫,0,10,45,4.1,1433,4,4.4
38,269.000 ₫,-40%,1,1,4.4,194,2,4.0
39,530.000 ₫,0,6,15,4.7,809,4,5.0
40,307.000 ₫,-32%,115,312,4.7,2048,4,4.7
41,169.000 ₫,-45%,17,52,4.4,91,2,4.0
42,200.000 ₫,0,13,97,4.6,100,2,4.2
43,449.000 ₫,0,1,4,4.0,24,1,1.0
44,45.500 ₫,-30%,189,858,4.5,628,3,4.6
45,9.000 ₫,0,0,0,4.4,91,1,0.0
46,57.000 ₫,0,10,62,4.1,1433,4,4.7
47,90.000 ₫,0,59,292,0.0,0,0,4.7
48,35.000 ₫,0,17,95,4.6,57,0,4.4
49,25.000 ₫,0,30,275,3.9,48,2,4.2
50,165.000 ₫,0,36,115,4.4,817,1,4.4
51,50.000 ₫,0,6,39,4.5,317,2,4.3
52,52.250 ₫,-5%,4,26,4.6,2764,2,5.0
53,65.000 ₫,0,30,97,4.7,91,1,4.7
54,99.000 ₫,0,3,8,4.2,495,2,5.0
55,565.000 ₫,-33%,3,8,4.7,2150,4,4.3
56,79.000 ₫,-28%,9,96,4.4,124,2,4.7
57,179.000 ₫,0,3,4,4.6,892,1,5.0
58,89.000 ₫,0,3,12,4.7,91,5,4.8
59,74.000 ₫,0,11,56,4.2,628,3,4.7
60,110.000 ₫,0,125,521,4.5,393,1,4.5
61,72.500 ₫,-50%,191,1333,4.5,628,3,4.6
62,269.000 ₫,-23%,3,7,4.4,3,0,4.8
63,25.000 ₫,0,6,203,4.6,71,1,3.7
64,40.000 ₫,0,12,42,4.7,91,0,4.8
65,299.000 ₫,-17%,16,46,4.0,241,1,4.0
66,254.250 ₫,-46%,26,112,4.4,91,2,4.3
67,199.000 ₫,-25%,2,5,4.8,166,2,0.0
68,320.000 ₫,-36%,3,14,4.3,237,4,4.7
69,89.500 ₫,-44%,46,156,4.7,331,2,4.8
70,454.300 ₫,-30%,2,8,4.8,18,1,5.0
71,15.000 ₫,0,5,47,4.6,19,0,5.0
