,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
181,215.000 ₫,0,1,1,5.0,3,1,5
182,119.000 ₫,0,4,30,4.3,46,1,5
183,467.000 ₫,0,2,6,4.2,70,3,5
184,67.000 ₫,-52%,22,52,4.7,11673,4,0
185,175.000 ₫,-7%,8,23,4.0,122,1,4.7
186,189.000 ₫,-37%,13,24,4.3,4812,2,4.5
187,96.000 ₫,-10%,1,3,4.3,530,5,5
188,235.000 ₫,0,164,580,4.7,2662,5,4.5
189,199.000 ₫,-36%,6,18,4.6,1843,4,4.8
190,106.000 ₫,-9%,49,121,4.5,336,1,4.7
191,80.000 ₫,0,140,344,4.5,2252,6,4.5
192,77.000 ₫,-30%,8,22,4.4,48,4,4.6
193,281.000 ₫,0,2,5,4.3,30,1,1
194,59.000 ₫,-31%,54,150,4.1,130,1,4
195,89.000 ₫,0,9,19,3.3,147,2,3.2
196,87.000 ₫,0,43,141,4.3,570,1,4.5
197,139.000 ₫,-30%,7,29,4.6,1843,4,4.6
198,1.190.000 ₫,0,2,7,4.4,135,4,5
199,545.000 ₫,0,1,1,4.7,436,2,5
200,860.000 ₫,0,1,4,4.1,55,1,5
201,59.850 ₫,0,1,1,4.6,187,2,4
202,629.000 ₫,0,3,6,4.7,3072,3,4.7
203,189.000 ₫,-37%,12,36,4.3,4812,2,4.6
204,69.000 ₫,0,1,5,3.3,147,2,4
205,75.000 ₫,0,1,2,4.5,3,1,5
206,83.000 ₫,0,5,7,4.3,1331,3,4
207,240.000 ₫,-24%,3,22,4.6,3276,2,5
208,265.000 ₫,-41%,14,49,4.6,236,1,4.8
209,239.000 ₫,-35%,160,601,4.3,4812,2,4.3
210,28.000 ₫,-32%,8,19,4.2,395,2,4.9
211,239.000 ₫,-14%,2,9,4.7,719,5,1
212,188.000 ₫,0,2,3,3.6,87,1,2.5
213,300.000 ₫,-20%,6,35,4.5,443,7,4.8
214,179.000 ₫,-40%,51,113,4.6,1740,4,4.6
215,59.000 ₫,-44%,56,272,4.2,665,1,4.4
216,129.000 ₫,-49%,9,34,4.6,236,1,0
217,59.000 ₫,-31%,26,64,4.1,130,1,4
218,225.000 ₫,0,78,292,4.7,2662,5,4.7
219,156.000 ₫,-23%,3,8,4.6,2252,1,4.7
220,119.000 ₫,-34%,11,30,4.3,139,5,0
221,32.000 ₫,-33%,30,45,4.5,5222,6,5
222,99.000 ₫,0,14,29,4.2,55,1,4.4
223,350.000 ₫,-17%,2,11,3.7,194,2,4
224,117.000 ₫,0,14,36,3.8,63,1,3.1
225,186.000 ₫,0,6,12,4.3,149,3,5
226,256.000 ₫,-36%,1,2,4.7,3,5,5
227,24.500 ₫,-21%,2,7,3.6,108,1,4
228,291.000 ₫,-42%,1,2,4.6,2252,1,5
229,99.000 ₫,0,9,18,4.7,2662,5,5
230,139.000 ₫,0,1,1,3.8,63,1,5
231,352.000 ₫,-36%,1,3,4.7,3,5,4
232,33.000 ₫,-13%,6,72,4.7,28,0,4.8
233,3.790.000 ₫,0,1,1,4.7,925,3,5
234,225.000 ₫,0,27,71,4.3,119,1,4.3
235,129.000 ₫,-35%,74,193,4.4,3584,5,4
236,199.000 ₫,-34%,147,321,4.3,4812,2,4.7
237,59.000 ₫,-25%,70,187,4.5,2252,6,4.5
238,79.000 ₫,-20%,1,1,3.9,49,3,5
239,30.000 ₫,0,1,5,4.6,24,0,5
