id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
416,159.000 ₫,0,10,43,4.2,793,2,3.9
417,45.000 ₫,0,11,22,4.2,479,2,5.0
418,210.000 ₫,0,2,8,4.1,254,1,5.0
419,52.000 ₫,0,2,9,3.9,9,1,5.0
420,93.750 ₫,-25%,15,66,4.8,7270,4,4.9
421,15.000 ₫,0,2,11,4.8,0,0,4.5
422,20.000 ₫,-50%,3,22,4.7,68,4,5.0
423,159.000 ₫,-47%,3,15,4.2,4,1,4.7
424,49.000 ₫,-39%,3,17,4.9,2,1,0.0
425,1.772.880 ₫,-11%,2,6,4.9,204,4,5.0
426,169.000 ₫,-20%,2,5,4.7,187,5,5.0
427,105.000 ₫,-19%,12,34,4.7,187,5,4.9
428,65.000 ₫,-19%,93,323,4.2,95,3,4.8
429,119.200 ₫,-20%,5,29,4.7,1331,3,4.8
430,169.000 ₫,0,8,24,4.2,304,4,3.9
431,237.500 ₫,0,2,6,4.8,129433,4,5.0
432,190.000 ₫,0,2,8,4.7,297,1,4.5
433,171.000 ₫,-19%,2,3,4.7,187,5,0.0
434,68.250 ₫,-25%,5,131,4.4,105,4,4.2
435,115.000 ₫,0,11,97,4.2,3,2,4.5
436,191.100 ₫,-2%,2,4,4.5,54,1,3.0
437,215.000 ₫,0,203,208,4.6,1228,4,0.0
438,89.000 ₫,-41%,32,1078,4.4,88,1,0.0
439,199.999 ₫,0,0,1,4.1,2969,2,4.7
440,110.000 ₫,0,3,12,4.6,23,1,4.7
441,184.000 ₫,-20%,2,5,4.7,45,3,5.0
442,429.000 ₫,0,5,14,4.6,114,1,4.6
443,35.000 ₫,0,2,5,4.3,622,2,4.5
444,791.000 ₫,-40%,39,127,4.7,12390,2,5.0
445,49.000 ₫,0,151,743,4.5,97,3,4.6
446,215.000 ₫,0,13,955,4.5,213,1,0.0
447,98.999 ₫,0,178,7,4.4,2969,2,4.6
448,45.000 ₫,0,3,72,4.6,2355,10,0.0
449,369.000 ₫,-9%,11,34,4.3,96,3,4.1
450,40.000 ₫,-47%,6,34,4.5,215,2,5.0
451,288.000 ₫,0,3,6,4.5,125,3,5.0
452,209.000 ₫,0,19,100,4.7,142,1,0.0
453,189.000 ₫,-21%,3,9,4.8,3379,5,4.7
454,230.000 ₫,-23%,14,44,4.3,554,1,4.0
455,39.000 ₫,-20%,20,82,4.3,786,0,4.4
456,74.995 ₫,0,34,90,4.5,17,0,4.5
457,39.900 ₫,-20%,2,6,3.0,101,0,2.5
458,100.000 ₫,0,15,10,4.4,273,1,3.0
459,29.000 ₫,0,2,40,4.3,1,1,0.0
460,42.900 ₫,0,2,14,4.3,1638,5,5.0
461,92.650 ₫,-15%,1,6,4.2,479,2,3.0
462,48.000 ₫,0,5,17,4.3,155,6,0.0
463,399.000 ₫,0,2,0,0.0,0,6,5.0
464,219.000 ₫,-20%,2,24,4.5,125,3,4.8
465,268.000 ₫,0,16,11,4.5,299,2,0.0
466,138.000 ₫,-1%,6,36,4.2,122,1,4.9
467,49.500 ₫,-50%,159,53,4.7,68,5,0.0
468,55.000 ₫,-17%,12,540,4.7,1228,1,4.9
469,268.000 ₫,-33%,7,28,4.5,3584,7,4.7
