id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
262,399.000 ₫,-50%,3,15,4.7,645,4,4.7
263,44.000 ₫,0,0,7,4.7,339,1,0
264,13.500 ₫,0,17,221,4.5,182,0,4.9
265,99.000 ₫,-20%,4,9,4.6,30,2,4.5
266,31.500 ₫,0,9,55,4.4,741,0,4.8
267,39.999 ₫,0,0,0,4.1,88,0,0
268,13.400 ₫,0,38,606,4.2,1331,3,0
269,39.000 ₫,-25%,6,117,4.7,1536,1,4.8
270,75.000 ₫,0,50,595,4.4,493,4,0
271,82.000 ₫,-22%,10,83,4.4,493,4,4.9
272,29.000 ₫,0,12,193,4.2,1331,3,4.4
273,158.000 ₫,-21%,40,377,4.7,1638,1,4.9
274,29.000 ₫,0,0,0,2.8,0,0,0
275,171.000 ₫,-1%,76,495,4.7,31,1,0
276,10.898 ₫,0,1,1,4.2,2867,1,4
277,454.666 ₫,-45%,0,4,4.7,88,3,0
278,118.000 ₫,0,87,547,4.7,645,4,4.8
279,19.943 ₫,0,0,0,3.5,124,0,0
280,19.500 ₫,0,4,133,4.6,11,0,5
281,128.000 ₫,-43%,49,438,4.3,55,2,4.5
282,40.000 ₫,0,2,44,4.4,29,0,4.5
283,87.000 ₫,-2%,5,22,4.4,6,1,4.6
284,240.000 ₫,0,4,20,4.7,725,6,5
285,78.000 ₫,0,20,126,4.6,318,1,4.4
286,259.000 ₫,-50%,0,1,4.7,645,4,0
287,150.000 ₫,-40%,9,46,4.7,543,5,4.6
288,360.000 ₫,0,90,765,4.7,1536,2,4.8
289,105.000 ₫,0,28,118,4.6,318,1,4.4
290,38.000 ₫,0,4,16,4.2,1331,3,4.3
291,39.449 ₫,0,0,1,4.2,2867,1,0
292,59.000 ₫,0,6,46,4.9,4,1,5
293,141.000 ₫,0,0,9,4.2,479,2,0
294,120.000 ₫,0,38,316,4.5,1740,3,3.7
295,0,0,0,0,0,0,0,0
296,127.000 ₫,0,1,4,4.4,794,1,5
297,109.000 ₫,-9%,1,6,4.9,158,1,5
298,360.000 ₫,-25%,197,1134,4.7,1536,2,4.7
299,78.000 ₫,-11%,19,190,4.7,2867,2,5
300,29.000 ₫,0,4,47,4.2,1331,3,4.3
301,30.000 ₫,0,3,94,4.7,2,0,5
302,159.000 ₫,0,3,9,4.7,1945,1,0
303,24.650 ₫,-15%,6,24,4.4,498,0,0
304,180.000 ₫,-10%,55,589,4.5,58,2,4.3
305,33.000 ₫,0,1,27,4.7,794,0,5
306,49.899 ₫,0,0,1,3.6,11,1,0
307,120.000 ₫,-27%,31,143,4.5,3276,8,4.8
308,268.500 ₫,0,0,3,4.6,1228,4,0
309,35.000 ₫,0,6,79,4.2,2867,1,3.8
310,108.000 ₫,0,71,565,4.7,1638,1,4.7
311,42.000 ₫,0,5,15,4.2,1331,3,4.6
312,39.999 ₫,0,25,655,4.5,1740,0,4.2
313,18.500 ₫,-38%,8,341,4.7,110,2,4.9
314,184.000 ₫,-20%,11,52,4.7,1536,2,4.6
315,30.000 ₫,0,4,21,4.5,6,0,4.5
316,49.000 ₫,0,4,42,4.7,1945,1,5
