,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
71,1.225.000 ₫,-30%,27,134,4.5,12902,4,0
72,200.000 ₫,-5%,27,70,4.8,21708,5,4.5
73,18.000 ₫,0,6,27,4.7,3,0,5
74,0,0,66,222,4.3,846,1,4.6
75,161.840 ₫,-49%,20,77,4.5,8,1,4.6
76,423.900 ₫,0,1,1,3.6,213,0,5
77,28.990 ₫,0,1,1,4.4,273,8,2
78,179.000 ₫,0,29,78,4.4,817,1,4.6
79,96.000 ₫,-47%,23,85,4.6,441,4,4.9
80,66.750 ₫,0,5,37,4.7,91,1,5
81,20.000 ₫,-33%,135,657,4.6,441,3,4.7
82,279.000 ₫,-44%,1,5,4.4,71,1,4
83,299.000 ₫,-34%,11,29,4.7,2150,4,4.8
84,79.000 ₫,0,1,9,4.3,39,6,4
85,17.000 ₫,-32%,0,5,4.3,129,1,5
86,220.000 ₫,0,2,7,4.2,2867,1,0
87,530.000 ₫,-37%,21,58,4.7,2150,4,4.7
88,28.000 ₫,0,46,144,4.7,73,0,4.6
89,599.000 ₫,0,1,1,4.2,17,2,5
90,48.000 ₫,0,15,78,4.4,662,4,4.4
91,37.000 ₫,-17%,8,44,4.4,916,0,4.8
92,1.449.000 ₫,-50%,1,2,4.5,514,5,5
93,55.000 ₫,-30%,328,1119,4.1,1843,3,3.6
94,195.000 ₫,0,3,12,4.3,28,1,3.7
95,189.999 ₫,0,0,2,4.3,152,2,0
96,159.000 ₫,-16%,41,228,4.6,1638,2,4.4
97,188.000 ₫,0,10,27,4.2,82,2,4.6
98,289.000 ₫,-28%,27,44,4.5,2457,3,4.6
99,199.000 ₫,0,3,16,4.4,91,2,4.3
100,279.000 ₫,0,6,27,4.0,30,1,4.8
101,22.000 ₫,-63%,4,20,4.2,2867,1,0
102,50.000 ₫,-9%,3,21,3.7,260,1,4.7
103,519.750 ₫,-1%,2,2,4.6,544,4,0
104,72.000 ₫,-35%,64,307,4.6,441,4,0
105,29.900 ₫,0,5,40,3.9,76,0,4.2
106,49.000 ₫,-30%,12,61,4.5,628,3,5
107,435.000 ₫,0,30,132,4.2,169,1,4.4
108,99.000 ₫,0,1,1,5.0,6,4,4.8
109,212.500 ₫,-15%,12,39,4.4,147,3,5
110,199.000 ₫,0,8,23,4.2,87,2,3.4
111,6.900 ₫,-22%,26,208,4.3,413,4,4.8
112,300.000 ₫,0,3,5,4.5,15,1,4.3
113,179.000 ₫,-45%,1,1,4.4,91,2,4
114,223.500 ₫,0,513,1245,4.5,1843,1,4.6
115,399.000 ₫,0,4,17,4.4,135,1,5
116,189.000 ₫,0,5,25,4.4,35,1,5
117,250.000 ₫,-50%,2,7,4.3,237,4,4
118,100.724 ₫,-48%,2,2,4.4,242,2,5
119,349.000 ₫,-41%,34,109,4.6,19,1,4.7
120,43.000 ₫,0,3,3,4.4,3,1,4.7
121,169.000 ₫,0,0,5,4.3,152,2,0
122,180.375 ₫,-25%,2,8,4.4,242,2,5
123,179.000 ₫,0,30,98,4.4,618,1,4.7
124,50.000 ₫,0,111,458,4.5,628,3,4.6
125,181.000 ₫,-7%,7,19,4.8,21708,5,4.9
126,250.000 ₫,0,23,143,4.2,37,2,4.3
