id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1094,87.000 ₫,0,43,141,4.3,570,1,4.5
1095,139.000 ₫,-30%,7,29,4.6,1843,4,4.6
1096,1.190.000 ₫,0,2,7,4.4,135,4,5.0
1097,545.000 ₫,0,1,1,4.7,436,2,5.0
1098,860.000 ₫,0,1,4,4.1,55,1,5.0
1099,59.850 ₫,0,1,1,4.6,187,2,4.0
1100,629.000 ₫,0,3,6,4.7,3072,3,4.7
1101,189.000 ₫,-37%,12,36,4.3,4812,2,4.6
1102,69.000 ₫,0,1,5,3.3,147,2,4.0
1103,75.000 ₫,0,1,2,4.5,3,1,5.0
1104,83.000 ₫,0,5,7,4.3,1331,3,4.0
1105,240.000 ₫,-24%,3,22,4.6,3276,2,5.0
1106,265.000 ₫,-41%,14,49,4.6,236,1,4.8
1107,239.000 ₫,-35%,160,601,4.3,4812,2,4.3
1108,28.000 ₫,-32%,8,19,4.2,395,2,4.9
1109,239.000 ₫,-14%,2,9,4.7,719,5,1.0
1110,188.000 ₫,0,2,3,3.6,87,1,2.5
1111,300.000 ₫,-20%,6,35,4.5,443,7,4.8
1112,179.000 ₫,-40%,51,113,4.6,1740,4,4.6
1113,59.000 ₫,-44%,56,272,4.2,665,1,4.4
1114,129.000 ₫,-49%,9,34,4.6,236,1,0.0
1115,59.000 ₫,-31%,26,64,4.1,130,1,4.0
1116,225.000 ₫,0,78,292,4.7,2662,5,4.7
1117,156.000 ₫,-23%,3,8,4.6,2252,1,4.7
1118,119.000 ₫,-34%,11,30,4.3,139,5,0.0
1119,32.000 ₫,-33%,30,45,4.5,5222,6,5.0
1120,99.000 ₫,0,14,29,4.2,55,1,4.4
1121,350.000 ₫,-17%,2,11,3.7,194,2,4.0
1122,117.000 ₫,0,14,36,3.8,63,1,3.1
1123,186.000 ₫,0,6,12,4.3,149,3,5.0
1124,256.000 ₫,-36%,1,2,4.7,3,5,5.0
1125,24.500 ₫,-21%,2,7,3.6,108,1,4.0
1126,291.000 ₫,-42%,1,2,4.6,2252,1,5.0
1127,99.000 ₫,0,9,18,4.7,2662,5,5.0
1128,139.000 ₫,0,1,1,3.8,63,1,5.0
1129,352.000 ₫,-36%,1,3,4.7,3,5,4.0
1130,33.000 ₫,-13%,6,72,4.7,28,0,4.8
1131,3.790.000 ₫,0,1,1,4.7,925,3,5.0
1132,225.000 ₫,0,27,71,4.3,119,1,4.3
1133,129.000 ₫,-35%,74,193,4.4,3584,5,4.0
1134,199.000 ₫,-34%,147,321,4.3,4812,2,4.7
1135,59.000 ₫,-25%,70,187,4.5,2252,6,4.5
1136,79.000 ₫,-20%,1,1,3.9,49,3,5.0
1137,30.000 ₫,0,1,5,4.6,24,0,5.0
1138,55.000 ₫,0,8,23,4.6,23,1,4.8
1139,115.000 ₫,-42%,3,19,3.8,189,4,4.7
1140,66.000 ₫,0,7,23,3.8,14,1,4.3
1141,124.000 ₫,0,8,26,3.6,87,1,3.4
1142,129.000 ₫,-50%,69,238,4.3,4812,2,4.7
1143,78.000 ₫,0,1,7,4.2,51,1,5.0
1144,79.000 ₫,0,27,64,4.3,570,1,4.1
1145,175.000 ₫,0,3,14,4.0,626,1,3.3
1146,159.000 ₫,-38%,514,1398,4.3,4812,2,4.4
1147,55.000 ₫,0,3,7,2.9,505,1,2.7
1148,99.000 ₫,-10%,4,18,4.2,665,1,4.0
1149,119.000 ₫,-30%,0,1,3.8,189,4,0.0
1150,107.000 ₫,-27%,5,8,4.0,54,3,4.6
1151,97.000 ₫,0,2,4,4.3,1331,3,5.0
1152,430.000 ₫,0,1,3,4.6,3,1,5.0
1153,79.000 ₫,0,36,84,4.5,2252,6,4.2
1154,159.000 ₫,-47%,10,27,4.3,4812,2,5.0
1155,139.000 ₫,-37%,3,10,4.4,3584,5,5.0
1156,150.000 ₫,0,6,29,4.7,23,1,4.8
1157,398.000 ₫,0,1,1,4.7,952,3,4.0
1158,542.900 ₫,-11%,1,1,4.8,8,1,4.6
1159,199.000 ₫,-50%,6,15,4.3,610,4,0.0
1160,139.000 ₫,-34%,461,1119,4.8,267,4,0.0
1161,49.000 ₫,0,11,26,4.3,4812,2,4.5
1162,350.000 ₫,0,1,2,4.0,28,1,4.0
1163,180.000 ₫,0,1,1,4.5,2,1,0.0
1164,79.000 ₫,-17%,5,6,4.4,33,1,3.8
1165,95.000 ₫,0,0,0,4.3,1331,3,0.0
1166,262.000 ₫,-34%,22,60,4.8,6553,7,4.7
1167,39.000 ₫,0,7,61,4.2,5,0,4.1
1168,324.000 ₫,-7%,2,2,4.7,119,2,5.0
1169,569.000 ₫,0,1,3,4.5,308,2,5.0
1170,265.000 ₫,-25%,5,7,4.7,245,5,4.6
1171,559.200 ₫,-20%,1,3,4.5,587,2,5.0
1172,1.062.500 ₫,-15%,1,1,4.7,365,4,0.0
1173,97.500 ₫,0,5,52,4.3,98,3,4.4
1174,122.000 ₫,-39%,5,9,3.8,189,4,4.2
1175,309.000 ₫,-21%,2,4,4.7,11673,4,5.0
1176,588.000 ₫,0,1,2,4.8,610,4,0.0
1177,49.000 ₫,0,1,2,4.0,41,1,5.0
1178,157.000 ₫,-11%,1,1,3.0,66,1,1.0
1179,149.000 ₫,-40%,6,12,4.2,828,1,4.0
1180,180.000 ₫,-9%,7,26,4.3,47,1,4.3
1181,265.000 ₫,-18%,2,6,4.7,245,5,5.0
1182,86.000 ₫,0,6,42,3.9,565,1,0.0
1183,155.000 ₫,0,4,8,4.1,21,1,4.8
1184,129.000 ₫,0,10,234,3.9,849,1,3.9
1185,207.999 ₫,0,1,2,4.0,10,1,4.0
1186,88.000 ₫,0,0,0,4.4,75,1,0.0
1187,149.000 ₫,-37%,555,1647,4.3,4812,2,4.3
1188,199.500 ₫,-50%,41,251,4.7,11161,5,4.8
1189,319.000 ₫,-36%,2,16,4.3,90,3,0.0
1190,79.000 ₫,-20%,1,2,3.5,54,1,1.0
1191,36.000 ₫,-18%,1,3,4.4,22,0,3.0
1192,58.000 ₫,-50%,1,3,4.0,75,1,5.0
1193,99.000 ₫,0,9,29,4.7,2662,5,4.9
1194,229.000 ₫,-43%,14,31,4.6,1843,4,4.9
1195,75.000 ₫,0,5,7,3.9,565,1,0.0
1196,65.000 ₫,0,29,162,4.7,29,1,4.6
